CustomerId,total_transaction_amount,average_transaction_amount,transaction_count,std_transaction_amount,total_value,average_value,max_value,credit_txn_ratio,debit_txn_ratio,unique_product_categories,unique_channels,unique_providers,fraud_txn_count,most_common_product_category,most_common_channel,most_common_pricing_strategy,avg_transaction_hour,avg_transaction_day,avg_transaction_month,avg_transaction_year,Recency,Frequency,Monetary,rfm_cluster,is_high_risk
CustomerId_1009,500.0,500.0,1,0.0,500,500.0,500,0.0,1.0,1,1,1,0,airtime,ChannelId_3,4,6.0,17.0,1.0,2019.0,28,1,500,0,1
CustomerId_1010,26335.0,3762.1428571428573,7,4971.798816946486,31975,4567.857142857143,10170,0.42857142857142855,0.5714285714285714,3,2,3,0,financial_services,ChannelId_3,2,11.428571428571429,15.571428571428571,8.857142857142858,2018.2857142857142,42,7,31975,3,0
CustomerId_1012,124906.0,1687.918918918919,74,3441.4863138083697,132894,1795.8648648648648,22000,0.43243243243243246,0.5675675675675675,2,2,3,0,airtime,ChannelId_3,1,16.04054054054054,18.675675675675677,7.851351351351352,2018.3648648648648,5,74,132894,2,0
CustomerId_1014,763880.0,95485.0,8,119332.84340149493,763880,95485.0,300000,0.0,1.0,1,1,2,0,financial_services,ChannelId_3,2,9.125,25.0,12.0,2018.0,50,8,763880,2,0
CustomerId_1016,20000.0,4000.0,5,6745.368781616021,32000,6400.0,10000,0.4,0.6,2,2,3,0,financial_services,ChannelId_3,2,18.0,8.0,2.0,2019.0,5,5,32000,2,0
CustomerId_1020,292195.0,1439.384236453202,203,2500.4482251946347,298605,1470.960591133005,10000,0.4088669950738916,0.5911330049261084,3,2,3,0,financial_services,ChannelId_3,2,11.911330049261084,22.788177339901477,10.89655172413793,2018.0197044334975,27,203,298605,2,0
CustomerId_1021,5000.0,5000.0,1,0.0,5000,5000.0,5000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,19.0,27.0,11.0,2018.0,78,1,5000,3,0
CustomerId_1022,7000.0,7000.0,1,0.0,7000,7000.0,7000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,2,13.0,9.0,1.0,2019.0,35,1,7000,0,1
CustomerId_1025,17200.0,1075.0,16,1803.6536992079898,19800,1237.5,5000,0.3125,0.6875,2,2,3,0,financial_services,ChannelId_3,2,15.75,20.25,1.25,2019.0,12,16,19800,2,0
CustomerId_1027,26770.0,1912.142857142857,14,3484.2705418482087,27230,1945.0,10000,0.42857142857142855,0.5714285714285714,3,2,3,0,financial_services,ChannelId_3,2,12.857142857142858,10.857142857142858,1.9285714285714286,2019.0,1,14,27230,2,0
CustomerId_1028,500.0,500.0,1,0.0,500,500.0,500,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,9.0,19.0,1.0,2019.0,26,1,500,0,1
CustomerId_1029,51000.0,5666.666666666667,9,8692.669325356856,75000,8333.333333333334,21000,0.2222222222222222,0.7777777777777778,3,2,3,0,financial_services,ChannelId_3,2,9.666666666666666,18.666666666666668,10.11111111111111,2018.111111111111,8,9,75000,2,0
CustomerId_1030,2350.0,293.75,8,713.8614811612364,4650,581.25,1000,0.5,0.5,2,2,2,0,airtime,ChannelId_2,2,12.0,8.375,1.0,2019.0,31,8,4650,0,1
CustomerId_1031,106838.8,2136.776,50,4615.395748241059,145322,2906.44,23000,0.36,0.64,4,2,3,0,airtime,ChannelId_3,2,12.4,15.5,8.26,2018.34,15,50,145322,2,0
CustomerId_1032,2000.0,1000.0,2,0.0,2000,1000.0,1000,0.0,1.0,2,1,1,0,airtime,ChannelId_3,2,1.0,11.0,1.0,2019.0,34,2,2000,0,1
CustomerId_1033,950.0,475.0,2,742.4621202458749,1050,525.0,1000,0.5,0.5,2,2,2,0,airtime,ChannelId_2,2,9.0,9.0,12.0,2018.0,67,2,1050,3,0
CustomerId_1034,40508.0,2531.75,16,7896.613345816885,63752,3984.5,28840,0.1875,0.8125,4,2,3,0,airtime,ChannelId_3,2,10.8125,13.3125,9.75,2018.1875,9,16,63752,2,0
CustomerId_1036,-50.0,-16.666666666666668,3,1000.4165798972613,2050,683.3333333333334,1000,0.6666666666666666,0.3333333333333333,2,2,2,0,financial_services,ChannelId_2,2,9.0,15.0,11.0,2018.0,91,3,2050,3,0
CustomerId_1038,19000.0,3800.0,5,6685.805860178712,31000,6200.0,10000,0.4,0.6,2,2,3,0,financial_services,ChannelId_3,2,13.0,1.0,2.0,2019.0,12,5,31000,2,0
CustomerId_1039,248895.0,8296.5,30,10395.940284387541,278257,9275.233333333334,22050,0.2,0.8,3,2,4,0,financial_services,ChannelId_3,2,11.2,4.566666666666666,8.0,2018.4,12,30,278257,2,0
CustomerId_1040,50000.0,50000.0,1,0.0,50000,50000.0,50000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,6.0,7.0,1.0,2019.0,38,1,50000,2,0
CustomerId_1043,14000.0,2333.3333333333335,6,6976.14984548545,36000,6000.0,10000,0.5,0.5,2,2,3,0,airtime,ChannelId_2,2,19.0,28.0,12.0,2018.0,47,6,36000,3,0
CustomerId_1044,21848.5,1365.53125,16,2064.1874064527988,24268,1516.75,6000,0.3125,0.6875,3,2,4,0,financial_services,ChannelId_3,2,15.5625,23.4375,11.25,2018.0,48,16,24268,3,0
CustomerId_1048,1000.0,1000.0,1,0.0,1000,1000.0,1000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,7.0,2.0,1.0,2019.0,43,1,1000,0,1
CustomerId_1050,5000.0,5000.0,1,0.0,5000,5000.0,5000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,18.0,21.0,12.0,2018.0,54,1,5000,3,0
CustomerId_1052,56900.0,8128.571428571428,7,18504.47822246589,59100,8442.857142857143,50000,0.2857142857142857,0.7142857142857143,2,2,3,0,financial_services,ChannelId_3,2,11.285714285714286,26.142857142857142,7.285714285714286,2018.4285714285713,24,7,59100,2,0
CustomerId_1053,13788.0,1969.7142857142858,7,1911.4446294435452,13812,1973.142857142857,4000,0.14285714285714285,0.8571428571428571,2,2,4,0,financial_services,ChannelId_3,2,4.857142857142857,15.285714285714286,11.0,2018.0,90,7,13812,3,0
CustomerId_1054,159000.0,3057.6923076923076,52,6112.9647232247835,164700,3167.3076923076924,30000,0.40384615384615385,0.5961538461538461,2,2,3,0,airtime,ChannelId_3,2,17.596153846153847,13.057692307692308,7.5,2018.423076923077,5,52,164700,2,0
CustomerId_1055,5850.0,1170.0,5,1338.6560424545207,6150,1230.0,3000,0.4,0.6,2,2,3,0,financial_services,ChannelId_3,2,9.8,19.0,11.0,2018.0,82,5,6150,3,0
CustomerId_1056,5500.0,1375.0,4,1108.6778913041726,5500,1375.0,3000,0.0,1.0,2,1,3,0,financial_services,ChannelId_3,2,11.5,17.75,12.0,2018.0,56,4,5500,3,0
CustomerId_1057,4504.0,2252.0,2,3886.258869401265,6246,3123.0,5750,0.5,0.5,2,2,2,0,financial_services,ChannelId_2,2,6.0,15.0,11.0,2018.0,91,2,6246,3,0
CustomerId_1058,13815.0,476.37931034482756,29,597.271917841752,15809,545.1379310344828,2000,0.4827586206896552,0.5172413793103449,3,2,3,0,financial_services,ChannelId_3,2,13.724137931034482,16.24137931034483,8.344827586206897,2018.3103448275863,5,29,15809,2,0
CustomerId_1059,40000.0,4444.444444444444,9,6463.573143221772,62000,6888.888888888889,10000,0.3333333333333333,0.6666666666666666,2,2,3,0,financial_services,ChannelId_3,2,13.333333333333334,14.333333333333334,1.4444444444444444,2019.0,12,9,62000,2,0
CustomerId_1063,13325.0,1110.4166666666667,12,1608.6590383033788,15675,1306.25,5000,0.4166666666666667,0.5833333333333334,2,2,3,0,financial_services,ChannelId_3,2,13.25,10.916666666666666,2.0,2019.0,2,12,15675,2,0
CustomerId_1064,191650.0,4563.0952380952385,42,6424.71627468643,256230,6100.714285714285,20000,0.30952380952380953,0.6904761904761905,4,2,4,0,financial_services,ChannelId_3,2,15.619047619047619,15.738095238095237,2.5952380952380953,2018.8809523809523,6,42,256230,2,0
CustomerId_1068,500.0,500.0,1,0.0,500,500.0,500,0.0,1.0,1,1,1,0,airtime,ChannelId_3,4,14.0,22.0,12.0,2018.0,53,1,500,0,1
CustomerId_1070,5000.0,5000.0,1,0.0,5000,5000.0,5000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,15.0,18.0,1.0,2019.0,26,1,5000,0,1
CustomerId_1071,236290.0,33755.71428571428,7,57242.85162275515,241710,34530.0,120000,0.42857142857142855,0.5714285714285714,3,2,3,0,financial_services,ChannelId_3,2,11.285714285714286,6.0,1.8571428571428572,2019.0,3,7,241710,2,0
CustomerId_1073,1000.0,1000.0,1,0.0,1000,1000.0,1000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,1,17.0,3.0,12.0,2018.0,72,1,1000,3,0
CustomerId_1074,167500.0,3641.304347826087,46,5656.405458001928,268700,5841.304347826087,14500,0.21739130434782608,0.782608695652174,2,3,5,0,financial_services,ChannelId_3,2,11.065217391304348,16.456521739130434,4.826086956521739,2018.6739130434783,5,46,268700,2,0
CustomerId_1078,19000.0,3166.6666666666665,6,7626.707459098367,41000,6833.333333333333,10000,0.5,0.5,2,2,3,0,airtime,ChannelId_2,2,21.0,28.0,12.0,2018.0,47,6,41000,3,0
CustomerId_1079,20000.0,20000.0,1,0.0,20000,20000.0,20000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,1,18.0,30.0,12.0,2018.0,45,1,20000,3,0
CustomerId_1080,5000.0,5000.0,1,0.0,5000,5000.0,5000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,6.0,14.0,1.0,2019.0,31,1,5000,0,1
CustomerId_1081,1500.0,750.0,2,353.5533905932738,1500,750.0,1000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,4,19.0,20.5,1.0,2019.0,14,2,1500,0,1
CustomerId_1082,19000.0,3800.0,5,6685.805860178712,31000,6200.0,10000,0.4,0.6,2,2,3,0,financial_services,ChannelId_3,2,13.0,28.0,12.0,2018.0,47,5,31000,3,0
CustomerId_1083,500.0,500.0,1,0.0,500,500.0,500,0.0,1.0,1,1,1,0,airtime,ChannelId_3,2,17.0,12.0,1.0,2019.0,32,1,500,0,1
CustomerId_1084,10000.0,10000.0,1,0.0,10000,10000.0,10000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,16.0,4.0,12.0,2018.0,71,1,10000,3,0
CustomerId_1085,2900.0,725.0,4,1517.3990905493517,5100,1275.0,2000,0.5,0.5,2,2,3,0,financial_services,ChannelId_2,2,20.0,17.0,12.0,2018.0,58,4,5100,3,0
CustomerId_1086,77576.0,2424.25,32,4114.986567610265,79354,2479.8125,15000,0.34375,0.65625,3,2,5,0,financial_services,ChannelId_3,2,9.875,17.40625,1.53125,2019.0,5,32,79354,2,0
CustomerId_1087,40000.0,4444.444444444444,9,6463.573143221772,62000,6888.888888888889,10000,0.3333333333333333,0.6666666666666666,2,2,3,0,financial_services,ChannelId_3,2,19.11111111111111,20.444444444444443,7.111111111111111,2018.4444444444443,33,9,62000,2,0
CustomerId_1089,169651.5,1116.1282894736842,152,1695.0127365720368,175729,1156.1118421052631,10000,0.40789473684210525,0.5921052631578947,2,2,4,0,financial_services,ChannelId_3,2,11.631578947368421,14.855263157894736,11.618421052631579,2018.0065789473683,37,152,175729,2,0
CustomerId_1091,3000.0,1500.0,2,707.1067811865476,3000,1500.0,2000,0.0,1.0,2,1,1,0,airtime,ChannelId_3,2,18.0,19.0,1.0,2019.0,25,2,3000,0,1
CustomerId_1092,65000.0,4062.5,16,5801.9393309478855,97000,6062.5,10000,0.25,0.75,2,2,3,0,airtime,ChannelId_3,2,11.375,23.5,5.125,2018.625,19,16,97000,2,0
CustomerId_1093,42620.0,774.9090909090909,55,1912.920128366163,81340,1478.909090909091,5200,0.43636363636363634,0.5636363636363636,2,3,4,0,airtime,ChannelId_3,4,16.6,14.181818181818182,9.909090909090908,2018.1818181818182,33,55,81340,2,0
CustomerId_1094,32460.0,4637.142857142857,7,9189.939633979675,46190,6598.571428571428,20000,0.42857142857142855,0.5714285714285714,3,2,3,0,financial_services,ChannelId_3,2,15.428571428571429,18.142857142857142,1.0,2019.0,25,7,46190,2,0
CustomerId_1095,4875.0,443.1818181818182,11,764.5334287239268,7125,647.7272727272727,2000,0.36363636363636365,0.6363636363636364,2,2,3,0,financial_services,ChannelId_3,2,9.909090909090908,22.363636363636363,1.1818181818181819,2019.0,12,11,7125,0,1
CustomerId_1096,1949226.0,2486.2576530612246,784,17819.372756509856,2041334,2603.7423469387754,202000,0.475765306122449,0.5242346938775511,4,3,4,0,airtime,ChannelId_3,2,10.558673469387756,28.07780612244898,1.0051020408163265,2019.0,7,784,2041334,2,0
CustomerId_1098,20000.0,20000.0,1,0.0,20000,20000.0,20000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,10.0,10.0,2.0,2019.0,3,1,20000,2,0
CustomerId_1099,6180.0,686.6666666666666,9,843.8601779915912,8220,913.3333333333334,2000,0.2222222222222222,0.7777777777777778,2,2,4,0,financial_services,ChannelId_3,2,16.555555555555557,10.777777777777779,3.4444444444444446,2018.7777777777778,25,9,8220,0,1
CustomerId_11,-10000.0,-10000.0,1,0.0,10000,10000.0,10000,1.0,0.0,1,1,1,0,airtime,ChannelId_2,4,16.0,21.0,11.0,2018.0,84,1,10000,3,0
CustomerId_1101,60000.0,6666.666666666667,9,5873.670062235366,60000,6666.666666666667,15000,0.0,1.0,1,1,2,0,financial_services,ChannelId_3,2,11.11111111111111,16.666666666666668,12.0,2018.0,53,9,60000,3,0
CustomerId_1102,60000.0,4285.714285714285,14,6169.759644097497,92000,6571.428571428572,10000,0.2857142857142857,0.7142857142857143,2,2,3,0,airtime,ChannelId_3,2,9.857142857142858,11.571428571428571,1.6428571428571428,2019.0,6,14,92000,2,0
CustomerId_1103,30000.0,30000.0,1,0.0,30000,30000.0,30000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,13.0,27.0,12.0,2018.0,48,1,30000,3,0
CustomerId_1104,40000.0,4000.0,10,9321.420969406376,84400,8440.0,21000,0.5,0.5,3,2,3,0,financial_services,ChannelId_2,2,20.3,7.2,2.0,2019.0,5,10,84400,2,0
CustomerId_1105,500.0,500.0,1,0.0,500,500.0,500,0.0,1.0,1,1,1,0,airtime,ChannelId_3,4,20.0,17.0,1.0,2019.0,27,1,500,0,1
CustomerId_1106,10000.0,10000.0,1,0.0,10000,10000.0,10000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,1.0,18.0,11.0,2018.0,88,1,10000,3,0
CustomerId_1108,50000.0,3571.4285714285716,14,8741.715073003834,112000,8000.0,20000,0.5,0.5,2,2,4,0,airtime,ChannelId_2,2,14.857142857142858,13.642857142857142,1.5714285714285714,2019.0,2,14,112000,2,0
CustomerId_1109,39800.0,4975.0,8,6193.718015630262,52200,6525.0,10500,0.375,0.625,2,2,3,0,financial_services,ChannelId_3,2,12.0,28.0,12.0,2018.0,47,8,52200,3,0
CustomerId_1111,-20.0,-6.666666666666667,3,1000.0666644445926,2020,673.3333333333334,1000,0.6666666666666666,0.3333333333333333,2,2,2,0,financial_services,ChannelId_2,2,16.0,6.0,12.0,2018.0,69,3,2020,3,0
CustomerId_1112,20000.0,3333.3333333333335,6,6088.2400303098,32000,5333.333333333333,10000,0.3333333333333333,0.6666666666666666,2,2,3,0,airtime,ChannelId_3,2,14.0,1.0,2.0,2019.0,12,6,32000,2,0
CustomerId_1113,29700.0,1291.304347826087,23,3184.930860313962,42300,1839.1304347826087,10000,0.34782608695652173,0.6521739130434783,2,2,3,0,airtime,ChannelId_3,2,14.652173913043478,7.304347826086956,12.0,2018.0,65,23,42300,3,0
CustomerId_1114,52925.0,928.5087719298245,57,963.8325492311376,59075,1036.4035087719299,2000,0.43859649122807015,0.5614035087719298,3,2,3,0,airtime,ChannelId_3,4,10.75438596491228,13.789473684210526,6.017543859649122,2018.561403508772,1,57,59075,2,0
CustomerId_1116,5960.0,745.0,8,1039.2717230280607,8040,1005.0,2000,0.375,0.625,2,2,3,0,airtime,ChannelId_3,2,17.375,14.0,1.25,2019.0,5,8,8040,0,1
CustomerId_1117,4000.0,4000.0,1,0.0,4000,4000.0,4000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,7.0,2.0,12.0,2018.0,74,1,4000,3,0
CustomerId_1118,70000.0,2916.6666666666665,24,6412.736421045005,142000,5916.666666666667,11000,0.3333333333333333,0.6666666666666666,2,2,5,0,airtime,ChannelId_3,2,12.375,10.625,1.5416666666666667,2019.0,1,24,142000,2,0
CustomerId_1119,5450.0,778.5714285714286,7,410.13934914158835,5550,792.8571428571429,1000,0.14285714285714285,0.8571428571428571,2,2,3,0,airtime,ChannelId_3,2,9.285714285714286,11.285714285714286,1.0,2019.0,27,7,5550,0,1
CustomerId_1120,1960.0,980.0,2,1442.497833620557,2040,1020.0,2000,0.5,0.5,2,2,2,0,airtime,ChannelId_2,2,3.0,13.0,12.0,2018.0,63,2,2040,3,0
CustomerId_1121,12097.02,1728.1457142857143,7,2428.372158867315,14781,2111.5714285714284,5000,0.42857142857142855,0.5714285714285714,2,2,3,0,airtime,ChannelId_3,2,17.714285714285715,26.857142857142858,1.0,2019.0,16,7,14781,0,1
CustomerId_1122,1850000.0,1850000.0,1,0.0,1850000,1850000.0,1850000,0.0,1.0,1,1,1,1,financial_services,ChannelId_3,2,5.0,11.0,12.0,2018.0,65,1,1850000,2,1
CustomerId_1123,1000.0,1000.0,1,0.0,1000,1000.0,1000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,4,2.0,29.0,12.0,2018.0,47,1,1000,0,1
CustomerId_1124,19000.0,3166.6666666666665,6,7626.707459098367,41000,6833.333333333333,10000,0.5,0.5,2,2,3,0,airtime,ChannelId_2,2,14.166666666666666,11.0,1.0,2019.0,33,6,41000,2,0
CustomerId_1125,5000.0,5000.0,1,0.0,5000,5000.0,5000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,6.0,13.0,1.0,2019.0,32,1,5000,0,1
CustomerId_1127,92135.0,2490.135135135135,37,2946.553053637062,95465,2580.135135135135,10000,0.32432432432432434,0.6756756756756757,3,2,4,0,financial_services,ChannelId_3,2,13.054054054054054,14.135135135135135,3.5945945945945947,2018.7837837837837,5,37,95465,2,0
CustomerId_1129,1000.0,500.0,2,0.0,1000,500.0,500,0.0,1.0,2,1,1,0,airtime,ChannelId_3,2,9.0,15.5,11.5,2018.0,75,2,1000,3,0
CustomerId_1130,3960.0,990.0,4,1833.1393836803572,6040,1510.0,3000,0.5,0.5,2,2,2,0,airtime,ChannelId_2,2,19.0,27.0,11.0,2018.0,78,4,6040,3,0
CustomerId_1131,16550.0,1504.5454545454545,11,2194.9321795279398,20170,1833.6363636363637,5000,0.45454545454545453,0.5454545454545454,3,2,3,0,financial_services,ChannelId_3,2,10.909090909090908,16.0,6.181818181818182,2018.5454545454545,2,11,20170,2,0
CustomerId_1134,3380.0,375.55555555555554,9,430.80915470516385,3620,402.22222222222223,1000,0.4444444444444444,0.5555555555555556,2,2,2,0,airtime,ChannelId_3,4,16.77777777777778,19.444444444444443,9.0,2018.2222222222222,1,9,3620,0,1
CustomerId_1135,71000.0,5071.428571428572,14,10547.561043011032,75000,5357.142857142857,40000,0.42857142857142855,0.5714285714285714,2,2,4,0,airtime,ChannelId_3,2,9.571428571428571,16.714285714285715,8.857142857142858,2018.2857142857142,24,14,75000,2,0
CustomerId_1137,80000.0,4000.0,20,8911.199340392432,161400,8070.0,20700,0.5,0.5,2,2,4,0,airtime,ChannelId_2,2,11.55,24.95,11.25,2018.0,54,20,161400,3,0
CustomerId_1140,3750.0,1250.0,3,3269.174207655505,6250,2083.3333333333335,5000,0.6666666666666666,0.3333333333333333,2,2,2,0,financial_services,ChannelId_2,2,21.0,30.0,12.0,2018.0,45,3,6250,0,1
CustomerId_1141,145465.0,2968.673469387755,49,5077.606347925152,227335,4639.489795918367,10000,0.2653061224489796,0.7346938775510204,2,2,5,0,airtime,ChannelId_3,2,11.10204081632653,13.10204081632653,8.408163265306122,2018.3061224489795,9,49,227335,2,0
CustomerId_1145,9500.0,2375.0,4,1887.4586088176875,9500,2375.0,5000,0.0,1.0,1,1,2,0,financial_services,ChannelId_3,2,11.75,24.25,9.25,2018.25,39,4,9500,0,1
CustomerId_1146,19000.0,3166.6666666666665,6,7626.707459098367,41000,6833.333333333333,10000,0.5,0.5,2,2,3,0,airtime,ChannelId_2,2,14.0,28.0,12.0,2018.0,47,6,41000,3,0
CustomerId_1147,80000.0,4444.444444444444,18,5843.268849682788,112000,6222.222222222223,10000,0.2222222222222222,0.7777777777777778,2,2,3,0,airtime,ChannelId_3,2,10.0,11.38888888888889,1.2222222222222223,2019.0,12,18,112000,2,0
CustomerId_1150,2000.0,1000.0,2,0.0,2000,1000.0,1000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,0,18.0,1.0,12.0,2018.0,74,2,2000,3,0
CustomerId_1153,3000.0,3000.0,1,0.0,3000,3000.0,3000,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,12.0,17.0,12.0,2018.0,58,1,3000,3,0
CustomerId_1154,5475.0,608.3333333333334,9,846.869234297716,5725,636.1111111111111,2500,0.2222222222222222,0.7777777777777778,3,2,4,0,airtime,ChannelId_3,2,14.0,14.333333333333334,4.0,2018.7777777777778,1,9,5725,0,1
CustomerId_1156,1488224.0,4044.086956521739,368,8121.07295048366,1683725,4575.339673913043,49267,0.29347826086956524,0.7065217391304348,4,3,4,0,financial_services,ChannelId_3,2,12.141304347826088,15.603260869565217,6.807065217391305,2018.4728260869565,2,368,1683725,2,0
CustomerId_1158,30000.0,3750.0,8,7094.061903149301,51400,6425.0,10700,0.5,0.5,2,2,3,0,airtime,ChannelId_2,2,14.0,16.0,11.0,2018.0,89,8,51400,3,0
CustomerId_1159,20000.0,4000.0,5,6745.368781616021,32000,6400.0,10000,0.4,0.6,2,2,3,0,financial_services,ChannelId_3,2,14.0,8.0,2.0,2019.0,5,5,32000,2,0
CustomerId_1160,48890.0,3259.3333333333335,15,6929.972651632974,102000,6800.0,11000,0.4,0.6,3,2,4,0,airtime,ChannelId_3,2,13.466666666666667,13.066666666666666,1.6,2019.0,1,15,102000,2,0
CustomerId_1161,2500.0,2500.0,1,0.0,2500,2500.0,2500,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,17.0,19.0,1.0,2019.0,25,1,2500,0,1
CustomerId_1162,4465.0,637.8571428571429,7,1176.4277040503353,6735,962.1428571428571,2300,0.42857142857142855,0.5714285714285714,2,2,3,0,financial_services,ChannelId_3,2,13.285714285714286,7.428571428571429,2.0,2019.0,6,7,6735,0,1
CustomerId_1163,50000.0,3571.4285714285716,14,7303.4689936125105,102000,7285.714285714285,11000,0.42857142857142855,0.5714285714285714,2,2,4,0,airtime,ChannelId_3,2,11.214285714285714,13.5,1.5714285714285714,2019.0,1,14,102000,2,0
CustomerId_1164,19000.0,3166.6666666666665,6,7626.707459098367,41000,6833.333333333333,10000,0.5,0.5,2,2,3,0,airtime,ChannelId_2,2,18.0,7.0,12.0,2018.0,68,6,41000,3,0
CustomerId_1165,54000.0,10800.0,5,14515.508947329405,66000,13200.0,30000,0.4,0.6,2,2,3,0,financial_services,ChannelId_3,2,9.4,5.4,1.0,2019.0,36,5,66000,2,0
CustomerId_1169,-50.0,-16.666666666666668,3,1000.4165798972613,2050,683.3333333333334,1000,0.6666666666666666,0.3333333333333333,2,2,2,0,financial_services,ChannelId_2,2,7.666666666666667,9.0,2.0,2019.0,5,3,2050,0,1
CustomerId_1170,107074.0,5948.555555555556,18,14101.364348768951,159334,8851.888888888889,59538,0.4444444444444444,0.5555555555555556,3,2,4,0,utility_bill,ChannelId_3,2,12.222222222222221,13.944444444444445,10.222222222222221,2018.111111111111,10,18,159334,2,0
CustomerId_1171,3925.0,654.1666666666666,6,1373.9010760119036,7075,1179.1666666666667,2500,0.5,0.5,3,3,3,0,financial_services,ChannelId_3,2,9.333333333333334,21.0,12.0,2018.0,45,6,7075,0,1
CustomerId_1172,235759.7,2806.6630952380956,84,4417.996239581807,248611,2959.654761904762,19500,0.38095238095238093,0.6190476190476191,5,2,3,0,financial_services,ChannelId_3,2,11.392857142857142,20.607142857142858,1.0,2019.0,14,84,248611,2,0
CustomerId_1174,1000.0,1000.0,1,0.0,1000,1000.0,1000,0.0,1.0,1,1,1,0,airtime,ChannelId_3,4,21.0,15.0,11.0,2018.0,90,1,1000,3,0
CustomerId_1175,8942702.5,37106.64937759336,241,359409.4007452866,9072498,37645.21991701245,5000000,0.35684647302904565,0.6431535269709544,5,3,5,2,financial_services,ChannelId_3,2,9.900414937759336,12.066390041493776,1.6348547717842323,2019.0,1,241,9072498,2,1
CustomerId_1177,28878.0,7219.5,4,12439.0,28878,7219.5,25878,0.0,1.0,1,1,1,0,financial_services,ChannelId_3,2,19.0,9.0,2.0,2019.0,4,4,28878,2,0
CustomerId_1179,900.0,300.0,3,1539.4804318340653,3100,1033.3333333333333,2000,0.6666666666666666,0.3333333333333333,2,2,2,0,financial_services,ChannelId_2,2,11.0,23.0,1.0,2019.0,21,3,3100,0,1
